Numer skrzynki	Towar	Ilosc
1	kondensator 470uf 50v	1
1	Kondensator 47uf 50v	20
1	kondensator 330uf 25v	5
1	kondensator 10uf  10v	10
1	Kondensator 1000 uf 25v	3
1	Kondensator 470 uf 35v	2
1	Kondensator 1000uf 35v	10
1	Kondensator 1000uf 16v	13
2	Kondensator 100uf 100v	6
2	Kondensator 3300 uf 16v	11
2	kondensator 3300 uf 35v	2
2	kondensator 2200uf 16v	2
3	kondensator 2200uf 16v	10
3	Kondensator 220 uf 25v	5
3	kondensator 100uf 16v	30
3	kondensator 2200uf 6,3v	30
3	stabilizator 12v 2a to220	2
4	termostat 95stopni celsiusza	8
4	ntc thermostat 130	1
4	ntc thermostat 135	1
4	Termostat 160 stopni	2
5	przełącznik wahadłowy biały	8
5	przełącznik wahadłowy czarny	14
5	rezystor 5w 10omów	10
6	triak bta12 600 bw st	8
6	mostek prostowniczy 2 w10	20
6	termostat bimetaliczny 250v 5a	4
6	wzmacniacz operacyjny lm358	30
7	potencjometry różne rodzaje	100
7	transoptor pc 817csharp	30
7	mikrofony małe	20
7	głośniczki małe	20
8	dioda prostownicza fr 107g	10
8	dioda prostownicza 1n5399	10
8	dioda prostownicza fr 207g	10
8	Nec 555	20
8	podstawa pod nec 555	20
8	dioda prostownicza 1n5408	11
8	triak btp41-600	5
8	bezpieczniki szklane 3.5 ampera	10
8	dioda  in 5822 shottky	5
8	Dioda in shottky 5819	10
8	dioda prostownicza 4148	10
8	dioda prostownicza 1n4007	10
9	rezystory smd od 1oma do jednego mega oma	1
10	zamki elektryczne 12v	3
10	elektrozawory 230v wysokotemperaturowe	2
11	kondensator 470uf 25v	5
11	kondensator 330uf 25v	5
11	kondensator 100uf 25v	10
11	kondensator 47uf 25v	10
11	kondensator 22uf 25v	10
11	Kondensator 1uf 50v	10
11	Kondensator 047uf 50v	10
11	Kondensator 10uf 50v	10
11	Kondensator 22uf 50v	10
11	Kondensator 4,7uf 50v	10
11	Kondensator ceramiczny 1p	10
11	Kondensator ceramiczny 100n	10
11	Kondensator ceramiczny 47n	10
11	Kondensator ceramiczny 68p	10
11	Kondensator ceramiczny 30p	10
11	Kondensator ceramiczny 4,7p	10
11	Kondensator ceramiczny 68p	10
