KOD INDEKSU	NAZWA INDEKSU	"KMS
(magazyn)"	CENA	WARTOŚĆ
TC-05-00-0042	OLEJ PRZEKŁADNIOWY TURMOGEAROIL CGLP 220	10.0	26.6200008392334	266.20001220703125
TC-05-00-0061	OLEJ SILNIKOWY  HD/CE 15W-40 (SUPEROL)	90.0	15.449999809265137	1390.5
TC-10-00-0083	SMAR SUPER 43 (KG)	27.5	14.640000343322754	402.6000061035156
TC-20-00-0001	KONCENTRAT DO CHLODNICY	20.0	14.649999618530273	293.0
TC-45-00-0006	OLEJ NAPĘDOWY	4665.0	6.03000020980835	28125.900390625
TE-10-00-0164	SILNIK Z PRZEKŁ. 0,37KW 220-480V 50/60HZ	1.0	4713.22998046875	4713.22998046875
TE-10-00-0260	SILNIK NAPĘDU PODN. LENZE BIF562B-11	1.0	735.4099731445312	735.4099731445312
TE-30-00-0297	PRZEKAŹNIK  PI6-1P-24VDC 805701	20.0	38.36000061035156	767.2000122070312
TE-35-00-1170	ZASILACZ HYDRAULICZ ZH-347-1-00/A/ 1,1KW	1.0	2985.0	2985.0
TE-50-00-0414	PSEN 2.1-10/1 ACTUATOR 512110	6.0	74.0	444.0
TE-60-00-0141	WENTYLATOR D=47/9,8 VS30 4-075-04-0007	5.0	82.66999816894531	413.3500061035156
TF708025	ZMYWACZ ANTYKOROZYJNY (NAFTA)	13.0	8.449999809265137	109.8499984741211
TF708026	PŁYN HAMULCOWY DA-1	10.0	7.639999866485596	76.4000015258789
TM-05-00-0317	ŁOŻYSKO 6004 ZZ C3 nIE AKTUALNE	3.0	8.9399995803833	26.81999969482422
TM-05-00-1217	UŁOŻYSKOWANIE ZAHNRAD DB32 2-031-95-6460	19.0	259.2300109863281	4925.3701171875
TM-05-00-1241	UŁOŻYSKOWANIE ZAHNRAD DB32 2-031-95-6470	18.0	255.13999938964844	4592.52001953125
TM-10-05-0100	Elektrozawór 2/2 G3/8 24DC-86.1210.38NZB	1.0	329.6000061035156	329.6000061035156
TM-10-10-0234	SIŁOWNIK 0822334544	2.0	249.4600067138672	498.9200134277344
TM-10-10-0253	SIŁOWNIK 0822010455	1.0	809.4000244140625	809.4000244140625
TM-10-10-0447	SIŁOWNIK 03,4 D30/60H126 H 1-003-65-5822	1.0	4304.5498046875	4304.5498046875
TM-10-15-0848	ŚRUBA ZAMYKAJĄCA 908 G1/4 4-011-01-0010	20.0	5.239999771118164	104.80000305175781
TM-10-15-0903	TULEJA FGB 2520 E40 291000500	1.0	22.280000686645508	22.280000686645508
TM-10-15-1071	TŁUMIK HAŁASU PŁASKI 7120-1/8 GW	20.0	5.5	110.0
TM-10-15-1087	ZŁĄCZKA-L QSMLLV-M5-4-I 130835	10.0	18.850000381469727	188.5
TM-35-00-0363	PRZEKŁADNIA KĄTOWA Z SIL. GK80-60 + Z14	1.0	2863.800048828125	2863.800048828125
TM-35-00-0975	WRZECIONO NAPĘDOWE UNIWERSALNE	1.0	250.0	250.0
